epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,5580.4,0.84965,0.7968,0.90041,0.75875,0.76415,0.76939,0.63577,0.45062,0.44908,0.95648,0.003862,0.003862,0.003862
64,5668.75,0.83627,0.7746,0.89881,0.75219,0.77135,0.7655,0.63186,0.40719,0.43356,0.95222,0.003763,0.003763,0.003763
65,5757.29,0.82181,0.77003,0.89267,0.71639,0.80056,0.76421,0.63281,0.42388,0.42247,0.94982,0.003664,0.003664,0.003664
66,5845.58,0.81586,0.76419,0.89292,0.7455,0.79139,0.77281,0.63484,0.4109,0.4119,0.94926,0.003565,0.003565,0.003565
67,5933.87,0.82147,0.75396,0.89525,0.73074,0.80388,0.77353,0.63307,0.41736,0.42648,0.95097,0.003466,0.003466,0.003466
68,6022.13,0.81025,0.73349,0.89123,0.73724,0.80537,0.77774,0.63458,0.39921,0.39869,0.94692,0.003367,0.003367,0.003367
69,6110.35,0.79018,0.73004,0.88896,0.73378,0.80099,0.77596,0.63721,0.40567,0.41488,0.94745,0.003268,0.003268,0.003268
70,6198.53,0.78168,0.72203,0.8831,0.73456,0.79347,0.7774,0.63617,0.4182,0.43585,0.95294,0.003169,0.003169,0.003169
71,6287.05,0.78409,0.71221,0.88939,0.72293,0.79958,0.7856,0.63814,0.40947,0.4344,0.95147,0.00307,0.00307,0.00307
72,6375.45,0.77683,0.71039,0.88613,0.7476,0.77869,0.78177,0.63835,0.40227,0.4108,0.94737,0.002971,0.002971,0.002971
73,6463.79,0.75672,0.69918,0.88087,0.77785,0.75226,0.78668,0.64313,0.40641,0.41148,0.94689,0.002872,0.002872,0.002872
74,6551.97,0.76218,0.69094,0.88092,0.7285,0.80803,0.78312,0.63956,0.40471,0.4236,0.9495,0.002773,0.002773,0.002773
75,6640.28,0.73688,0.6807,0.87573,0.73938,0.79868,0.78758,0.64097,0.41343,0.40865,0.94796,0.002674,0.002674,0.002674
76,6728.88,0.74393,0.66957,0.87578,0.73626,0.80199,0.78846,0.64355,0.42375,0.40046,0.94734,0.002575,0.002575,0.002575
77,6817.26,0.72946,0.66786,0.87316,0.7269,0.80493,0.78755,0.64283,0.40825,0.39225,0.94721,0.002476,0.002476,0.002476
78,6905.6,0.73099,0.66654,0.87381,0.72413,0.80618,0.78836,0.64195,0.40637,0.39789,0.94883,0.002377,0.002377,0.002377
79,6993.65,0.71795,0.65938,0.86777,0.75375,0.77868,0.78056,0.64051,0.39985,0.40063,0.95013,0.002278,0.002278,0.002278
80,7082.05,0.70229,0.64877,0.86745,0.74818,0.79496,0.78234,0.63874,0.401,0.39862,0.95072,0.002179,0.002179,0.002179
81,7170.59,0.70946,0.63511,0.86788,0.74707,0.79888,0.79025,0.63819,0.3847,0.38143,0.94957,0.00208,0.00208,0.00208
82,7258.98,0.70422,0.63981,0.86895,0.74272,0.79806,0.78933,0.64188,0.38203,0.37826,0.94907,0.001981,0.001981,0.001981
83,7347.38,0.69093,0.62671,0.86668,0.7446,0.79467,0.78788,0.64203,0.3824,0.37833,0.94914,0.001882,0.001882,0.001882
84,7435.59,0.68257,0.61785,0.86355,0.73393,0.80242,0.78705,0.63963,0.38097,0.37764,0.94898,0.001783,0.001783,0.001783
85,7523.93,0.68774,0.61953,0.86512,0.73224,0.80743,0.78741,0.64267,0.38104,0.37949,0.94833,0.001684,0.001684,0.001684
86,7612.43,0.66638,0.61427,0.8617,0.73707,0.80488,0.79037,0.64615,0.37947,0.37896,0.94817,0.001585,0.001585,0.001585
87,7700.97,0.66043,0.59845,0.86103,0.73637,0.80369,0.79187,0.64424,0.38052,0.38007,0.9482,0.001486,0.001486,0.001486
88,7789.55,0.659,0.59618,0.85762,0.73636,0.80657,0.79125,0.64472,0.38236,0.3823,0.9489,0.001387,0.001387,0.001387
89,7877.6,0.65384,0.5982,0.85622,0.73276,0.8098,0.79167,0.64322,0.38405,0.38303,0.94944,0.001288,0.001288,0.001288
90,7966.11,0.65042,0.58742,0.85723,0.74138,0.8001,0.79241,0.64539,0.38535,0.38423,0.94955,0.001189,0.001189,0.001189
91,8057,0.61078,0.83844,0.85648,0.74392,0.79885,0.79242,0.64436,0.38316,0.38024,0.94967,0.00109,0.00109,0.00109
92,8145.3,0.58767,0.79282,0.85115,0.74392,0.79698,0.7919,0.64505,0.38238,0.37884,0.94921,0.000991,0.000991,0.000991
93,8233.71,0.57073,0.78174,0.84941,0.7436,0.80121,0.79245,0.64504,0.38089,0.37667,0.94881,0.000892,0.000892,0.000892
94,8321.96,0.55574,0.78598,0.84416,0.75659,0.78382,0.79237,0.64454,0.37919,0.37625,0.94832,0.000793,0.000793,0.000793
95,8410.46,0.5569,0.77093,0.8473,0.75764,0.781,0.79114,0.64425,0.37968,0.37721,0.94809,0.000694,0.000694,0.000694
96,8499.21,0.5454,0.7662,0.84469,0.75636,0.78155,0.78963,0.64222,0.37927,0.37726,0.94788,0.000595,0.000595,0.000595
97,8587.77,0.53467,0.75859,0.84116,0.7523,0.78242,0.7877,0.64363,0.38012,0.37826,0.94855,0.000496,0.000496,0.000496
98,8676.19,0.53245,0.76142,0.84231,0.75244,0.78566,0.78803,0.6437,0.38099,0.38034,0.94901,0.000397,0.000397,0.000397
99,8764.67,0.51843,0.74849,0.83758,0.73519,0.80633,0.78782,0.6437,0.38264,0.38336,0.94934,0.000298,0.000298,0.000298
100,8852.92,0.51839,0.75506,0.83762,0.7351,0.8064,0.78735,0.64389,0.38307,0.38442,0.94954,0.000199,0.000199,0.000199
